host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,neighbourhood_cleansed_encoded,amenities_encoded
0,0,89.0,0,0,1,1,0,1,1,0,1.0,1.0,0,1.0,1.0,1.0,1026.3,1.0,7,1.0,7.0,1.0,58,88,363,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.7,1.0,1.2,4,3307
1,1,93.0,1,0,1,1,0,1,1,0,12.0,13.0,0,1.0,1.4,1.0,999.0,1.0,365,1.0,365.0,0.0,24,54,325,0.0,0.0,4.58,4.56,4.7,4.87,4.78,4.98,4.48,8.0,0.41,5,14490
1,0,57.0,1,1,1,1,1,1,1,0,3.0,4.0,1,1.0,2.0,2.0,2029.0,2.0,30,2.0,30.0,0.0,20,50,325,4.0,0.0,4.9,4.81,4.75,4.94,4.92,4.98,4.91,2.0,0.31,5,15144
0,1,100.0,1,0,1,1,1,1,1,0,3.0,4.0,0,1.0,1.0,1.0,1140.0,1.6,180,3.7,180.0,0.0,27,57,257,7.0,2.0,4.91,4.9,4.96,4.96,4.98,4.96,4.92,3.0,0.83,3,12677
1,1,100.0,1,1,1,1,0,1,1,0,5.0,7.0,0,1.5,1.0,1.0,1026.3,1.0,365,1.0,1125.0,0.0,9,20,275,0.0,0.0,4.91,5.0,5.0,5.0,4.73,4.91,4.82,3.0,0.11,10,12895
0,0,89.0,0,0,1,0,0,0,0,0,3.0,4.0,0,1.0,2.0,1.0,999.0,1.0,730,1.0,730.0,0.0,0,0,0,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.7,3.0,1.2,3,18755
1,0,98.0,1,1,1,1,0,1,1,0,7.0,8.0,0,1.3,1.4,1.5,1026.3,2.0,365,2.0,365.0,0.0,17,30,230,36.0,0.0,4.88,4.91,4.84,4.92,4.9,4.75,4.9,7.0,2.23,10,12171
0,1,78.0,1,1,1,1,0,0,1,0,2.0,2.0,0,1.0,1.0,1.0,335.0,1.6,90,4.0,90.0,0.0,10,40,315,11.0,0.0,4.84,4.87,4.61,4.98,4.95,4.97,4.81,2.0,0.84,2,21053
0,0,95.0,1,1,1,1,0,1,1,0,3.0,3.0,1,1.0,2.0,1.0,999.0,2.0,365,2.0,365.0,0.0,0,0,158,9.0,0.0,4.86,4.96,4.95,4.98,4.89,4.98,4.91,3.0,0.59,3,15976
0,1,67.0,0,1,1,1,0,1,1,0,1.0,2.0,1,1.3,3.0,3.0,1026.3,1.6,90,1.8,90.0,1.0,59,85,353,2.0,0.0,5.0,5.0,5.0,5.0,5.0,4.96,4.74,1.0,0.17,16,12496
1,1,100.0,1,1,1,1,0,0,1,0,2.0,2.0,0,1.5,1.0,1.0,384.0,3.0,200,2.6,200.0,0.0,1,17,292,17.0,1.0,4.96,4.9,4.92,4.92,4.94,4.92,4.89,2.0,0.54,3,14092
